14.5883, 10, 14.4755, 9.5592, 14.4755, 10.4408
14.4755, 10.4408, 14.5883, 10, 14.1742, 10.8303
14.1742, 10.8303, 14.4755, 10.4408, 13.7661, 11.1424
13.7661, 11.1424, 14.1742, 10.8303, 13.3261, 11.3777
13.3261, 11.3777, 13.7661, 11.1424, 12.8998, 11.55
12.8998, 11.55, 13.3261, 11.3777, 12.5069, 11.6751
12.5069, 11.6751, 12.8998, 11.55, 12.1523, 11.7663
12.1523, 11.7663, 12.5069, 11.6751, 11.8334, 11.8334
11.8334, 11.8334, 12.1523, 11.7663, 11.5455, 11.8831
11.5455, 11.8831, 11.8334, 11.8334, 11.283, 11.9202
11.283, 11.9202, 11.5455, 11.8831, 11.0411, 11.9478
11.0411, 11.9478, 11.283, 11.9202, 10.8152, 11.9682
10.8152, 11.9682, 11.0411, 11.9478, 10.6015, 11.9827
10.6015, 11.9827, 10.8152, 11.9682, 10.3963, 11.9925
10.3963, 11.9925, 10.6015, 11.9827, 10.1968, 11.9982
10.1968, 11.9982, 10.3963, 11.9925, 10, 12
10, 12, 10.1968, 11.9982, 9.8032, 11.9982
9.8032, 11.9982, 10, 12, 9.60366, 11.9925
9.60366, 11.9925, 9.8032, 11.9982, 9.39854, 11.9827
9.39854, 11.9827, 9.60366, 11.9925, 9.18475, 11.9682
9.18475, 11.9682, 9.39854, 11.9827, 8.95886, 11.9478
8.95886, 11.9478, 9.18475, 11.9682, 8.71695, 11.9202
8.71695, 11.9202, 8.95886, 11.9478, 8.45455, 11.8831
8.45455, 11.8831, 8.71695, 11.9202, 8.1666, 11.8334
8.1666, 11.8334, 8.45455, 11.8831, 7.84774, 11.7663
7.84774, 11.7663, 8.1666, 11.8334, 7.49306, 11.6751
7.49306, 11.6751, 7.84774, 11.7663, 7.10024, 11.55
7.10024, 11.55, 7.49306, 11.6751, 6.67392, 11.3777
6.67392, 11.3777, 7.10024, 11.55, 6.23391, 11.1424
6.23391, 11.1424, 6.67392, 11.3777, 5.82577, 10.8303
5.82577, 10.8303, 6.23391, 11.1424, 5.52451, 10.4408
5.52451, 10.4408, 5.82577, 10.8303, 5.41169, 10
5.41169, 10, 5.52451, 10.4408, 5.52451, 9.5592
5.52451, 9.5592, 5.41169, 10, 5.82577, 9.16969
5.82577, 9.16969, 5.52451, 9.5592, 6.23391, 8.85757
6.23391, 8.85757, 5.82577, 9.16969, 6.67393, 8.62229
6.67393, 8.62229, 6.23391, 8.85757, 7.10024, 8.45004
7.10024, 8.45004, 6.67393, 8.62229, 7.49306, 8.32492
7.49306, 8.32492, 7.10024, 8.45004, 7.84774, 8.23368
7.84774, 8.23368, 7.49306, 8.32492, 8.1666, 8.1666
8.1666, 8.1666, 7.84774, 8.23368, 8.45455, 8.11686
8.45455, 8.11686, 8.1666, 8.1666, 8.71696, 8.07979
8.71696, 8.07979, 8.45455, 8.11686, 8.95886, 8.05217
8.95886, 8.05217, 8.71696, 8.07979, 9.18476, 8.03182
9.18476, 8.03182, 8.95886, 8.05217, 9.39854, 8.01726
9.39854, 8.01726, 9.18476, 8.03182, 9.60366, 8.00748
9.60366, 8.00748, 9.39854, 8.01726, 9.8032, 8.00184
9.8032, 8.00184, 9.60366, 8.00748, 10, 8
10, 8, 9.8032, 8.00184, 10.1968, 8.00184
10.1968, 8.00184, 10, 8, 10.3963, 8.00748
10.3963, 8.00748, 10.1968, 8.00184, 10.6015, 8.01726
10.6015, 8.01726, 10.3963, 8.00748, 10.8152, 8.03182
10.8152, 8.03182, 10.6015, 8.01726, 11.0411, 8.05217
11.0411, 8.05217, 10.8152, 8.03182, 11.283, 8.07979
11.283, 8.07979, 11.0411, 8.05217, 11.5455, 8.11686
11.5455, 8.11686, 11.283, 8.07979, 11.8334, 8.1666
11.8334, 8.1666, 11.5455, 8.11686, 12.1523, 8.23368
12.1523, 8.23368, 11.8334, 8.1666, 12.5069, 8.32492
12.5069, 8.32492, 12.1523, 8.23368, 12.8998, 8.45004
12.8998, 8.45004, 12.5069, 8.32492, 13.3261, 8.62229
13.3261, 8.62229, 12.8998, 8.45004, 13.7661, 8.85757
13.7661, 8.85757, 13.3261, 8.62229, 14.1742, 9.16969
14.1742, 9.16969, 13.7661, 8.85757, 14.4755, 9.5592
14.4755, 9.5592, 14.1742, 9.16969, 14.5883, 10
